lon,lat
-48.1532666887342,-27.610010038403
-49.9203935843682,-30.2876390787289
-51.5478604942358,-32.4270723553866
-53.0399569928415,-34.2436193633956
-54.971006636096,-35.0429695757504
-57.9493076236229,-34.4717097860628
-56.752959413895,-36.9967697806107
-57.5541762034063,-38.3872908837138
-61.6729644820387,-39.4367759902847
-61.8495722826724,-40.49221791186
-64.5358981801535,-41.0812548820019
-64.2823900153083,-42.9797478251026
-64.6968328569669,-44.0572466839227
-66.809884258266,-45.6267105573588
-65.5940921138107,-46.967558183247
-67.4169000093235,-48.6923979256554
-69.6235125520056,-51.1953442325214
-68.8810917108382,-53.2342122486409
-63.746336801430914,-53.95812780762938
-59.4443942506704,-53.1057595322953
-56.10029014930598,-53.2405524932842
-53.2611095268149,-53.8786188320845
-49.14400809524554,-51.80540186459383
-50.83496539914256,-52.810007304677086
-46.94576360017936,-52.810007304677086
-39.39971456703307,-54.10164287049842
-35.5148082014361,-54.6567505322368
-30.9658348252787,-55.702845030631
-28.9050681724103,-55.702845030631
-27.729432834842356,-58.55060981943856
-24.4073506245871,-59.3134276857933
-19.557481974649,-59.7229834377554
-13.3060669564171,-59.0413828517076
-8.56529482811528,-57.826649045627
-5.62609989082776,-56.3618631339579
-4.78443338685379,-53.4915434126835
-6.47091081256119,-50.3138198653934
-9.5256609762704,-47.5811451642667
-14.6435109679158,-44.6590100348833
-16.9973125650852,-42.3841822811356
-19.88217442871411,-40.18068177220186
-23.3481087076663,-37.459193114928
-26.5365611472314,-35.1574012090621
-28.936703358862076,-32.86141356588098
-31.2805088350139,-29.6157485104614
-33.162150192931136,-29.99111230850025
-35.17426773296401,-30.27814243423832
-37.99123228901004,-29.70408218276218
-39.39971456703307,-28.41244661694084
-41.4667433635204,-26.8338086071255
-45.4360671871317,-26.11620561103625
-48.2058663756583,-28.0544871385934
